,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
482,HONDA CR-V,1.5,4,CVT,4WD,Gasoline,small SUV,5.0,27.0,33.0,29.0,6,No
483,HONDA CR-V,2.4,4,CVT,2WD,Gasoline,small SUV,5.0,26.0,32.0,28.0,6,No
484,HONDA CR-V,2.4,4,CVT,4WD,Gasoline,small SUV,5.0,25.0,31.0,27.0,6,No
485,HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,small car,7.0,31.0,40.0,35.0,8,Yes
486,HONDA Civic 2Dr,1.5,4,CVT,2WD,Gasoline,small car,3.0,31.0,40.0,35.0,8,Yes
487,HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,small car,3.0,30.0,41.0,35.0,8,Yes
488,HONDA Civic 2Dr,1.5,4,Man-6,2WD,Gasoline,small car,3.0,28.0,38.0,32.0,7,Yes
489,HONDA Civic 2Dr,2.0,4,CVT,2WD,Gasoline,small car,7.0,30.0,39.0,34.0,8,Yes
490,HONDA Civic 2Dr,2.0,4,CVT,2WD,Gasoline,small car,3.0,30.0,39.0,34.0,8,Yes
491,HONDA Civic 2Dr,2.0,4,Man-6,2WD,Gasoline,small car,3.0,28.0,39.0,32.0,7,Yes
492,HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,7.0,32.0,42.0,36.0,8,Yes
493,HONDA Civic 4Dr,1.5,4,CVT,2WD,Gasoline,midsize car,3.0,32.0,42.0,36.0,8,Yes
494,HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,3.0,31.0,42.0,35.0,8,Yes
495,HONDA Civic 4Dr,1.5,4,Man-6,2WD,Gasoline,midsize car,3.0,28.0,38.0,32.0,7,Yes
496,HONDA Civic 4Dr,2.0,4,CVT,2WD,Gasoline,midsize car,7.0,31.0,40.0,34.0,8,Yes
497,HONDA Civic 4Dr,2.0,4,CVT,2WD,Gasoline,midsize car,3.0,31.0,40.0,34.0,8,Yes
498,HONDA Civic 4Dr,2.0,4,Man-6,2WD,Gasoline,midsize car,3.0,28.0,40.0,32.0,7,Yes
499,HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,7.0,31.0,40.0,34.0,8,Yes
500,HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,3.0,31.0,40.0,34.0,8,Yes
501,HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,large car,3.0,29.0,38.0,33.0,8,Yes
502,HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,7.0,30.0,36.0,32.0,7,Yes
503,HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,3.0,30.0,36.0,32.0,7,Yes
504,HONDA Civic 5Dr,2.0,4,Man-6,2WD,Gasoline,large car,3.0,22.0,28.0,25.0,5,No
505,HONDA Fit,1.5,4,CVT,2WD,Gasoline,station wagon,7.0,33.0,40.0,36.0,8,Yes
506,HONDA Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,3.0,29.0,36.0,31.0,7,Yes
507,HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,7.0,31.0,36.0,33.0,8,Yes
508,HONDA HR-V,1.8,4,CVT,2WD,Gasoline,station wagon,3.0,28.0,34.0,31.0,7,Yes
509,HONDA HR-V,1.8,4,CVT,4WD,Gasoline,station wagon,3.0,27.0,31.0,29.0,6,No
510,HONDA HR-V,1.8,4,Man-6,2WD,Gasoline,station wagon,3.0,25.0,33.0,28.0,6,No
511,HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,station wagon,3.0,28.0,34.0,31.0,7,Yes
512,HONDA HR-V,1.8,4,SCV-7,4WD,Gasoline,station wagon,3.0,27.0,31.0,29.0,6,No
513,HONDA Odyssey,3.5,6,SemiAuto-10,2WD,Gasoline,minivan,3.0,19.0,28.0,22.0,4,No
514,HONDA Odyssey,3.5,6,SemiAuto-9,2WD,Gasoline,minivan,3.0,19.0,28.0,22.0,4,No
515,HONDA Pilot,3.5,6,Auto-6,2WD,Gasoline,small SUV,3.0,19.0,27.0,22.0,4,No
516,HONDA Pilot,3.5,6,Auto-6,4WD,Gasoline,small SUV,3.0,18.0,26.0,21.0,4,No
517,HONDA Pilot,3.5,6,SemiAuto-9,2WD,Gasoline,small SUV,3.0,20.0,27.0,23.0,5,No
518,HONDA Pilot,3.5,6,SemiAuto-9,4WD,Gasoline,small SUV,3.0,19.0,26.0,22.0,4,No
